Country,Emissions
Luxembourg,14.4
Ireland,11.6
Czech Republic,10.6
Cyprus,10
Poland,10
Netherlands,9.4
Belgium,9.2
Germany,8.8
Estonia,8.7
Finland,8.6
Austria,8.3
Slovenia,7.5
Lithuania,7.2
Denmark,7.2
Bulgaria,7.1
Greece,7
Slovakia,6.8
Hungary,6.4
Italy,6.4
Croatia,5.9
Spain,5.8
France,5.8
Romania,5.7
Portugal,5.6
Latvia,5.5
Sweden,4.5
Malta,4.1
