Rank,Region,GDP per capita in EUR
1, Bratislava Region,"35,789"
2, Trnava Region,"16,298"
3, Nitra Region,"12,925"
4, Žilina Region,"12,889"
5, Trenčín Region,"12,803"
6, Košice Region,"11,753"
7, Banská Bystrica Region,"10,917"
8, Prešov Region,"9,070"
, Slovakia,"14,943"
